,feature,amplitude,percent_beyond_1_std,maximum,max_slope,median,median_absolute_deviation,percent_close_to_median,minimum,skew,std,period_fast,weighted_average,object_id,target,tflux_u,tflux_g,tflux_r,tflux_i,tflux_z,ra,decl,ddf_bool,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,true_target,true_submodel,true_z,true_distmod,true_lensdmu,true_vpec,true_rv,true_av,true_peakmjd,libid_cadence,tflux_u-g,tflux_g-r,tflux_r-i,tflux_i-z
0,0,880.533203,0.3920454545454545,660.626343,116805.1663343214,-89.4775235,294.5828475,0.3153409090909091,-1100.440063,-0.3480489802686061,393.5496376637749,342.12619420516864,-87.64468381264035,615.0,92.0,484.7,3286.7,3214.1,3039.7,2854.5,349.0461,-61.9438,1,0.0,0.0,0.0,-9.0,0.017,92,1,0.0,0.0,0.0,0.0,0.0,0.0,59570.0,69,-2802.0,72.59999999999991,174.4000000000001,185.19999999999982
1,0,118.1448375,0.0826210826210826,220.795212,11188.06276730521,1.035895,2.2523090000000003,0.9088319088319088,-15.494463,4.95851930313933,27.518923510104237,728.4180887372062,6.090088384530098,745.0,90.0,0.0,0.0,0.0,0.0,0.0,0.1899,-45.5867,1,0.304,0.281,1.152,40.795,0.007,90,1,0.301,40.969,-0.004,257.7,0.0,0.0,60130.453,38,0.0,0.0,0.0,0.0
2,0,80.071971,0.096590909090909,143.600189,13330.938697952994,1.141288,1.964956,0.8835227272727273,-16.543753,4.387499089348694,20.02321929866832,426.6554199218754,5.799872832926981,1124.0,90.0,0.0,0.0,0.0,0.0,0.0,352.7113,-63.8237,1,0.193,0.241,0.018,40.417,0.024,90,1,0.193,39.866,-0.002,-368.8,0.0,0.0,60452.641,1,0.0,0.0,0.0,0.0
3,0,143.6529425,0.1028571428571428,70.879387,10193.778708372738,-0.879244,3.8061455,0.92,-216.426498,-4.373812925652102,23.054834980395476,4.985081516632199,-4.017456616898316,2677.0,16.0,169.8,2841.8,4410.2,4036.8,2970.1,53.9648,-28.631,1,0.0,0.0,0.0,-9.0,0.009,16,1,0.0,0.0,0.0,0.0,0.0,0.0,59570.0,121,-2672.0,-1568.3999999999996,373.39999999999964,1066.7000000000003
4,0,16.464171,0.3764705882352941,17.009882,1722.161091127803,-3.529613,4.126296,0.4352941176470588,-15.91846,0.5453526295065371,6.108324039954515,1068.3197499999917,-3.13964072375752,3489.0,88.0,39.6,41.2,47.9,46.2,43.2,150.1172,2.8361,1,1.133,1.438,0.217,45.075,0.016,88,1,1.135,44.439,0.0,0.0,0.0,0.0,59570.0,106,-1.6000000000000014,-6.699999999999996,1.6999999999999957,3.0
5,0,60.0863045,0.3732193732193732,-15.595274,4383.770359036241,-68.480003,11.836982,0.5014245014245015,-135.767883,-0.3079371071990886,22.50206115677296,799.3501872659227,-64.65683826093908,4088.0,88.0,174.7,190.5,182.7,222.2,239.6,0.9657,-46.3751,1,0.483,0.464,0.032,42.069,0.007,88,1,0.482,42.169,0.0,0.0,0.0,0.0,59570.0,96,-15.800000000000011,7.800000000000011,-39.5,-17.400000000000006
6,0,79.10049049999999,0.0655270655270655,19.964363,20648.764863667544,5.382012,3.734311,0.9430199430199432,-138.236618,-5.6587921506598,13.00160180173872,131.6228800493379,3.064883441692317,4171.0,16.0,24.3,269.7,314.2,240.7,158.9,2.0975,-45.784,1,0.0,0.0,0.0,-9.0,0.011,16,1,0.0,0.0,0.0,0.0,0.0,0.0,59570.0,24,-245.39999999999998,-44.5,73.5,81.79999999999998
7,0,61.9974335,0.1607843137254902,112.362953,11487.421451626704,1.518819,2.91978,0.7568627450980392,-11.631914,2.5644301891649244,20.546444864448908,459.49236559139416,7.75008900903524,4389.0,90.0,0.0,0.0,0.0,0.0,0.0,151.6992,3.5833,1,0.233,0.221,0.967,40.194,0.016,90,1,0.234,40.337,-0.008,223.8,0.0,0.0,60277.695,64,0.0,0.0,0.0,0.0
8,0,96.2986315,0.0994318181818181,177.272415,10449.667529844945,1.0733505,2.5227690000000003,0.8835227272727273,-15.324848,3.659208682767477,27.22187425816667,341.05788446526185,6.9930623776068215,7164.0,90.0,0.0,0.0,0.0,0.0,0.0,347.8618,-61.9438,1,0.43,0.424,0.029,41.837,0.017,90,1,0.431,41.877,-0.0,-49.5,0.0,0.0,59754.406,84,0.0,0.0,0.0,0.0
9,0,2066.6016235,0.49002849002849,1993.561401,102948.9491949418,-678.917236,569.897751,0.3703703703703703,-2139.641846,0.6292619847848633,904.095582056524,479.0718294051659,-338.896881952029,7315.0,88.0,4815.0,5077.3,6473.4,10043.0,10352.3,2.0711,-45.1916,1,0.133,0.134,0.017,38.994,0.011,88,1,0.132,38.969,0.0,0.0,0.0,0.0,59570.0,70,-262.3000000000002,-1396.0999999999995,-3569.6000000000004,-309.2999999999993
